"Date","Price","Open","High","Low","Vol.","Change %"
"05/24/2021","170.22","169.46","171.02","168.88","3.36M","0.99%"
"05/21/2021","168.55","170.53","170.53","168.47","3.89M","-0.50%"
"05/20/2021","169.40","168.51","169.77","168.29","4.53M","1.03%"
"05/19/2021","167.68","166.34","167.77","165.49","7.06M","-0.84%"
"05/18/2021","169.10","170.81","171.58","169.08","3.88M","-0.78%"
"05/17/2021","170.43","170.23","170.83","168.91","5.22M","-0.18%"
"05/14/2021","170.74","169.42","171.10","168.94","4.11M","1.73%"
"05/13/2021","167.83","167.81","169.45","166.02","7.04M","0.71%"
"05/12/2021","166.65","170.52","171.33","166.28","7.06M","-3.39%"
"05/11/2021","172.49","171.53","173.15","169.81","7.11M","-1.13%"
"05/10/2021","174.46","177.68","177.68","174.44","3.49M","-1.78%"
"05/07/2021","177.62","176.73","178.10","175.81","3.38M","0.90%"
"05/06/2021","176.04","176.04","176.30","174.36","3.93M","0.22%"
"05/05/2021","175.66","177.45","177.71","175.36","3.16M","-0.31%"
"05/04/2021","176.21","176.74","177.02","174.01","4.60M","-1.04%"
"05/03/2021","178.07","179.89","179.98","177.83","3.69M","-0.48%"
"04/30/2021","178.92","178.02","179.49","177.88","2.83M","0.39%"
"04/29/2021","178.23","179.31","179.42","176.65","3.22M","0.03%"
"04/28/2021","178.18","178.17","179.14","177.77","2.38M","-0.12%"
"04/27/2021","178.39","178.69","179.11","177.99","2.22M","-0.12%"
"04/26/2021","178.60","178.42","179.17","177.44","2.23M","0.44%"
"04/23/2021","177.82","176.55","178.54","175.98","1.91M","1.05%"
"04/22/2021","175.98","178.17","178.43","175.33","2.98M","-1.11%"
"04/21/2021","177.95","174.95","178.14","174.60","2.77M","1.33%"
"04/20/2021","175.61","177.22","177.63","174.30","4.23M","-1.26%"
"04/19/2021","177.85","178.88","179.05","177.29","3.52M","-1.12%"
"04/16/2021","179.87","178.92","180.10","178.44","2.64M","0.77%"
"04/15/2021","178.49","178.46","178.60","177.49","2.52M","0.72%"
"04/14/2021","177.22","179.38","180.16","176.85","3.34M","-0.98%"
"04/13/2021","178.98","177.41","179.33","177.17","2.68M","1.06%"
"04/12/2021","177.11","175.97","177.28","175.82","3.14M","0.64%"
"04/09/2021","175.98","174.16","176.02","173.97","3.05M","0.95%"
"04/08/2021","174.32","174.47","174.72","173.20","3.21M","0.47%"
"04/07/2021","173.50","173.92","174.54","173.20","2.52M","-0.30%"
"04/06/2021","174.02","173.11","174.70","172.99","3.15M","0.43%"
"04/05/2021","173.27","172.12","173.91","171.80","4.31M","2.27%"
"04/01/2021","169.42","169.59","169.70","168.85","4.07M","0.80%"
"03/31/2021","168.07","167.48","168.98","167.03","3.97M","0.78%"
"03/30/2021","166.77","164.43","167.02","163.77","3.66M","0.98%"
"03/29/2021","165.15","165.63","166.47","163.94","4.68M","-0.55%"
"03/26/2021","166.06","165.34","166.18","163.16","4.27M","0.83%"
"03/25/2021","164.69","161.69","165.24","161.35","5.66M","0.88%"
"03/24/2021","163.26","166.48","167.37","163.26","4.68M","-1.48%"
"03/23/2021","165.71","167.29","168.01","165.28","4.00M","-0.94%"
"03/22/2021","167.28","167.36","168.71","166.66","3.61M","0.50%"
"03/19/2021","166.45","165.27","166.80","163.54","6.06M","0.60%"
"03/18/2021","165.46","168.02","168.76","165.18","5.08M","-2.45%"
"03/17/2021","169.61","166.01","170.20","165.83","4.36M","1.41%"
"03/16/2021","167.26","169.01","169.33","166.49","3.44M","-1.04%"
"03/15/2021","169.01","167.00","169.06","166.42","4.40M","1.34%"
"03/12/2021","166.77","164.52","166.78","164.06","4.17M","0.29%"
"03/11/2021","166.28","166.00","166.92","165.02","4.23M","1.53%"
"03/10/2021","163.77","165.08","165.99","162.61","7.12M","0.51%"
"03/09/2021","162.94","160.13","164.00","159.31","9.31M","3.78%"
"03/08/2021","157.01","157.45","160.22","156.74","6.27M","0.12%"
"03/05/2021","156.82","157.01","157.28","149.65","10.31M","0.64%"
"03/04/2021","155.83","159.26","160.30","152.84","9.23M","-2.12%"
"03/03/2021","159.20","162.71","163.36","159.20","5.56M","-2.35%"
"03/02/2021","163.03","165.16","165.52","162.95","3.31M","-1.15%"
"03/01/2021","164.93","163.15","165.22","162.84","4.35M","2.35%"
"02/26/2021","161.15","162.54","163.28","159.01","6.13M","0.42%"
"02/25/2021","160.48","165.50","166.42","159.68","7.32M","-3.72%"
"02/24/2021","166.68","164.74","166.90","162.98","3.99M","1.05%"
"02/23/2021","164.95","163.10","165.79","159.06","5.38M","-0.66%"
"02/22/2021","166.04","168.00","168.59","165.89","2.85M","-2.11%"
"02/19/2021","169.62","171.38","171.38","169.39","2.51M","-0.58%"
"02/18/2021","170.61","168.77","171.16","168.65","2.58M","0.03%"
"02/17/2021","170.56","168.55","170.73","167.70","3.22M","0.58%"
"02/16/2021","169.58","170.65","170.87","169.11","2.26M","-0.43%"
"02/12/2021","170.32","169.34","170.40","168.86","2.00M","0.14%"
"02/11/2021","170.08","171.00","171.59","169.26","1.96M","-0.28%"
"02/10/2021","170.55","172.81","172.81","169.25","2.44M","-0.99%"
"02/09/2021","172.25","172.66","173.08","172.04","1.81M","-0.55%"
"02/08/2021","173.21","173.35","173.46","172.15","2.36M","0.57%"
"02/05/2021","172.23","171.20","172.81","170.86","2.23M","0.96%"
"02/04/2021","170.60","169.58","170.60","169.06","2.57M","1.07%"
"02/03/2021","168.80","170.30","170.47","168.68","2.03M","-0.56%"
"02/02/2021","169.75","167.51","170.87","167.49","2.70M","2.12%"
"02/01/2021","166.22","163.89","166.40","162.89","3.25M","2.60%"
"01/29/2021","162.01","164.92","165.29","161.09","5.42M","-2.33%"
"01/28/2021","165.88","164.58","167.52","163.61","3.92M","0.31%"
"01/27/2021","165.36","168.69","168.79","164.53","5.62M","-3.08%"
"01/26/2021","170.62","171.32","171.48","169.98","3.73M","-0.06%"
"01/25/2021","170.73","170.54","171.96","167.34","5.88M","0.37%"
"01/22/2021","170.10","169.78","170.41","169.11","2.23M","-0.34%"
"01/21/2021","170.68","170.79","171.79","170.49","3.34M","0.47%"
"01/20/2021","169.89","168.31","170.37","167.79","3.43M","1.89%"
"01/19/2021","166.74","167.21","167.48","166.09","3.17M","0.57%"
"01/15/2021","165.80","166.82","167.34","165.14","3.64M","-0.77%"
"01/14/2021","167.09","168.35","169.17","166.89","3.01M","-0.64%"
"01/13/2021","168.16","168.35","168.81","167.32","2.83M","-0.01%"
"01/12/2021","168.17","166.51","168.80","166.31","5.70M","1.53%"
"01/11/2021","165.64","166.82","167.50","165.19","3.71M","-1.87%"
"01/08/2021","168.79","167.34","168.96","166.29","4.64M","2.06%"
"01/07/2021","165.38","163.72","166.03","163.66","3.36M","1.93%"
"01/06/2021","162.25","160.79","164.01","160.15","4.42M","1.02%"
"01/05/2021","160.61","158.50","161.06","158.45","3.13M","0.75%"
"01/04/2021","159.42","161.78","161.89","157.44","9.06M","-0.85%"
