"Date","Price","Open","High","Low","Vol.","Change %"
"06/15/2021","124.70","124.79","124.98","124.17","5.41M","0.03%"
"06/14/2021","124.66","124.48","124.68","123.78","5.16M","0.09%"
"06/11/2021","124.55","125.25","125.31","123.92","6.96M","-0.71%"
"06/10/2021","125.44","123.63","125.58","123.58","9.35M","1.71%"
"06/09/2021","123.33","122.46","123.53","122.46","7.97M","0.97%"
"06/08/2021","122.15","122.83","122.90","121.21","10.80M","-0.31%"
"06/07/2021","122.53","122.39","123.61","122.18","13.98M","0.36%"
"06/04/2021","122.09","122.34","122.70","121.95","11.23M","0.32%"
"06/03/2021","121.70","120.88","122.02","120.61","13.24M","0.30%"
"06/02/2021","121.33","121.68","121.99","121.04","13.25M","-0.20%"
"06/01/2021","121.57","123.75","123.79","121.47","13.37M","-1.64%"
"05/28/2021","123.60","123.59","124.61","123.52","10.06M","0.39%"
"05/27/2021","123.12","123.65","123.75","123.05","8.10M","-0.22%"
"05/26/2021","123.39","124.08","124.12","122.86","6.85M","-0.58%"
"05/25/2021","124.11","124.66","124.67","123.97","6.80M","-0.30%"
"05/24/2021","124.48","125.00","125.25","124.43","4.96M","0.10%"
"05/21/2021","124.36","124.75","125.66","124.26","8.42M","0.02%"
"05/20/2021","124.34","123.01","124.87","123.01","7.52M","1.05%"
"05/19/2021","123.05","122.46","123.13","121.59","10.06M","-0.17%"
"05/18/2021","123.26","123.18","123.97","122.77","9.20M","0.03%"
"05/17/2021","123.22","123.31","123.88","123.14","6.00M","-0.19%"
"05/14/2021","123.45","123.54","123.86","123.14","6.59M","0.50%"
"05/13/2021","122.83","121.95","123.39","121.76","11.23M","0.90%"
"05/12/2021","121.73","122.23","122.84","121.61","10.95M","-0.94%"
"05/11/2021","122.89","123.58","124.10","122.61","11.36M","-1.08%"
"05/10/2021","124.23","124.52","125.19","124.18","8.85M","0.13%"
"05/07/2021","124.07","123.51","124.72","123.46","7.58M","0.69%"
"05/06/2021","123.22","122.36","123.23","121.73","16.11M","0.13%"
"05/05/2021","123.06","123.01","123.44","122.41","16.71M","0.18%"
"05/04/2021","122.84","122.53","122.93","122.00","16.19M","0.11%"
"05/03/2021","122.71","121.99","122.84","121.82","13.18M","1.14%"
"04/30/2021","121.33","121.21","121.92","121.11","7.15M","-0.30%"
"04/29/2021","121.69","122.31","122.34","121.03","8.15M","-0.40%"
"04/28/2021","122.18","122.35","122.49","121.96","6.79M","-0.30%"
"04/27/2021","122.55","122.95","122.97","122.35","7.03M","-0.58%"
"04/26/2021","123.26","123.61","123.62","123.03","6.91M","-0.34%"
"04/23/2021","123.68","122.81","123.96","122.55","4.98M","0.66%"
"04/22/2021","122.87","123.32","123.60","122.40","10.03M","-0.45%"
"04/21/2021","123.42","122.36","123.49","122.30","9.64M","1.18%"
"04/20/2021","121.98","120.95","122.29","120.95","8.06M","0.39%"
"04/19/2021","121.51","121.25","121.54","120.89","7.09M","0.02%"
"04/16/2021","121.48","121.20","121.61","120.78","7.45M","0.75%"
"04/15/2021","120.58","119.02","120.93","119.02","8.44M","1.71%"
"04/14/2021","118.55","118.42","119.03","118.33","6.23M","-0.01%"
"04/13/2021","118.56","117.70","118.89","117.59","6.52M","0.42%"
"04/12/2021","118.07","117.78","118.31","117.65","8.28M","0.10%"
"04/09/2021","117.95","116.74","118.02","116.67","5.92M","1.10%"
"04/08/2021","116.67","116.83","117.18","116.51","4.29M","0.15%"
"04/07/2021","116.49","116.68","117.08","116.19","5.75M","-0.22%"
"04/06/2021","116.75","117.35","117.69","116.58","5.21M","-0.38%"
"04/05/2021","117.20","116.98","117.56","116.79","7.19M","0.70%"
"04/01/2021","116.39","116.93","117.04","116.02","6.68M","-0.30%"
"03/31/2021","116.74","116.76","117.45","116.56","8.50M","0.20%"
"03/30/2021","116.51","117.25","117.25","116.24","6.87M","-0.90%"
"03/29/2021","117.57","116.55","117.97","116.51","8.96M","0.47%"
"03/26/2021","117.02","115.14","117.17","114.83","8.29M","1.89%"
