"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/2021","65.10","64.86","65.46","64.60","10.25M","0.53%"
"06/01/2021","64.76","65.31","65.46","64.61","11.03M","-0.61%"
"05/28/2021","65.16","65.20","65.40","64.96","9.78M","0.54%"
"05/27/2021","64.81","65.48","65.48","64.79","8.50M","-0.67%"
"05/26/2021","65.25","65.28","65.53","65.06","8.42M","0.02%"
"05/25/2021","65.24","66.11","66.11","65.09","10.21M","-1.21%"
"05/24/2021","66.04","66.48","66.59","66.00","9.67M","-0.18%"
"05/21/2021","66.16","65.98","66.41","65.69","10.24M","0.52%"
"05/20/2021","65.82","65.37","66.22","65.35","12.84M","0.87%"
"05/19/2021","65.25","65.05","65.31","64.49","13.12M","-0.17%"
"05/18/2021","65.36","65.23","65.58","65.06","9.77M","-0.02%"
"05/17/2021","65.37","65.88","66.26","65.27","12.56M","-0.82%"
"05/14/2021","65.91","65.75","66.33","65.75","9.46M","0.49%"
"05/13/2021","65.59","64.42","65.98","64.37","14.11M","1.93%"
"05/12/2021","64.35","65.82","65.82","64.32","14.78M","-2.34%"
"05/11/2021","65.89","66.64","66.73","65.43","14.11M","-1.23%"
"05/10/2021","66.71","66.18","67.38","66.18","13.22M","1.01%"
"05/07/2021","66.04","65.80","66.54","65.78","9.06M","0.30%"
"05/06/2021","65.84","65.52","65.90","65.08","11.65M","0.77%"
"05/05/2021","65.34","66.46","66.46","64.97","11.78M","-1.69%"
"05/04/2021","66.46","66.64","66.76","66.02","11.72M","-0.37%"
"05/03/2021","66.71","66.87","67.33","66.60","10.77M","-0.01%"
"04/30/2021","66.72","66.34","66.74","65.94","10.24M","0.79%"
"04/29/2021","66.20","65.60","66.24","65.60","9.61M","0.91%"
"04/28/2021","65.60","65.72","65.90","65.29","7.58M","-0.14%"
"04/27/2021","65.69","66.10","66.13","65.58","10.47M","-0.77%"
"04/26/2021","66.20","66.61","66.65","66.00","6.29M","-0.57%"
"04/23/2021","66.58","66.70","66.92","66.41","8.44M","-0.13%"
"04/22/2021","66.67","67.10","67.33","66.61","8.99M","-0.71%"
"04/21/2021","67.15","67.79","68.05","66.90","9.62M","-0.84%"
"04/20/2021","67.72","66.87","67.89","66.83","14.77M","1.27%"
"04/19/2021","66.87","67.25","67.36","66.70","10.75M","-0.51%"
"04/16/2021","67.21","66.92","67.47","66.78","11.19M","0.81%"
"04/15/2021","66.67","65.95","66.70","65.91","11.93M","1.11%"
"04/14/2021","65.94","65.49","65.94","65.32","7.56M","0.44%"
"04/13/2021","65.65","64.62","65.77","64.50","9.13M","1.19%"
"04/12/2021","64.88","64.83","65.34","64.66","7.10M","0.09%"
"04/09/2021","64.82","64.95","65.22","64.69","7.88M","-0.11%"
"04/08/2021","64.89","65.11","65.31","64.75","9.95M","-0.08%"
"04/07/2021","64.94","64.97","65.28","64.61","7.90M","-0.12%"
"04/06/2021","65.02","64.61","65.03","64.14","8.63M","0.53%"
"04/05/2021","64.68","64.21","65.09","64.15","14.64M","1.09%"
"04/01/2021","63.98","63.94","64.09","63.55","10.52M","-0.09%"
"03/31/2021","64.04","63.60","64.16","63.47","11.13M","0.74%"
"03/30/2021","63.57","63.95","63.95","63.10","11.06M","-0.90%"
"03/29/2021","64.15","63.34","64.45","63.30","16.39M","1.07%"
"03/26/2021","63.47","63.25","63.53","62.63","10.39M","0.33%"
"03/25/2021","63.26","62.79","63.47","62.51","14.15M","1.07%"
